bărbat;man
dansator;dancer (male)  
coregrafele;the female choreographers  
politiciana;the politician (female)  
președinta;the president (female)  
vicepreședinte;vice president  
șef;boss/chief  
director;director  
secretar;secretary  
recepționer;receptionist  
angajatul;the employee  
angajator;employer  
judecător;judge  
avocat;lawyer  
detectivii;the detectives  
polițist;police officer  
gardian;guard  
soldat;soldier  
pompier;firefighter  
poștașii;the postmen  
preot;priest  
inginerele;the female engineers  
arhitect;architect  
electrician;electrician  
instalator;plumber  
muncitor;worker  
fermier;farmer  
zidar;bricklayer  
tâmplar;carpenter  
grădinarii;the gardeners  
bucătarul;the chef  
chelner;waiter  
barmanele;the female bartenders  
brutărese;the female bakers  
măcelari;butchers  
pescarul;the fisherman  
vânătorii;the hunters  
căpitan;captain  
pirat;pirate  
croitor;tailor  
coafeză;hairdresser (female)  
frizer;barber  
cosmetician;beautician  
mecanicul;the mechanic  
șofer;driver  
taximetrist;taxi driver  
piloți;pilots  
stewardesa;flight attendant (female)  
pe;on  
la;at/to  
de;of/from  
între;between  
din;from  
în;in  
cu;with  
fără;without  
pentru;for  
lângă;next to  
sub;under  
peste;over/across  
după;after  
înainte;before  
până;until  
spre;towards  
dinspre;from (direction)  
către;towards  
printre;among  
despre;about  
prin;through  
în afară de;apart from  
în loc de;instead of  
împreună cu;together with  
dintre;between  
odată cu;at the same time as  
metru;meter  
decimetru;decimeter  
centimetru;centimeter  
milimetrii;millimeters  
decametru;decameter  
hectometru;hectometer  
kilometru;kilometer  
milă;mile  
gram;gram  
decigram;decigram  
centigram;centigram  
miligram;milligram  
decagram;decagram  
kilogram;kilogram  
tonă;ton  
livră;pound  
litru;liter  
decilitrul;deciliter  
centilitru;centiliter  
mililitru;milliliter  
decalitrul;decaliter  
hectolitri;hectoliters  
kilolitru;kiloliter  
gradul;degree  
volt;volt  
watt;watt  
cântărim;we weigh  
obiecte;objects  
lucrurile;the things  
piesele;the pieces  
bucată;piece  
felii;slices  
borcanul;the jar  
cutie;box  
pungă;bag  
ghiozdane;backpacks  
pixuri;pens  
creion;pencil  
gumă de șters;eraser  
ascuțitoare;sharpener  
foaie de hârtie;sheet of paper  
caiete;notebooks  
stilou;pen (fountain)  
riglă;ruler  
penarele;the pencil cases  
ochelari;glasses  
umbrela;umbrella  
foarfeca;scissors  
brelocurile;keychains  
cheia;key  
ceas;watch  
portofel;wallet  
poșetele;the handbags  
brichetă;lighter  
brățară;bracelet  
nasturii;the buttons  
inel;ring  
cercel;earring  
pieptene;comb  
perie de păr;hairbrush  
batistă;handkerchief  
lănțișor;necklace  
verigheta;wedding ring  
baterie;battery  
lumânare;candle  
ac;needle  
chibritul;match  
bec;light bulb  
timbru;stamp  
lipici;glue  
fermoar;zipper  
ciocan;hammer  
motor;engine  
parbriz;windshield  
portbagaj;trunk (car)  
centură de siguranță;seatbelt  
aer condiționat;air conditioning  
roată;wheel  
semafor;traffic light  
volanul;steering wheel  
oglindă;mirror  
clopot;bell  
telefon;phone  
radio;radio  
televizor;television  
monitoarele;the monitors  
ecranele;the screens  
calculatorul;the computer  
tastaturile;the keyboards  
cablu;cable  
mărimea;size  
lungimea;length  
lățimea;width  
înălțimi;height  
suprafață;surface  
volum;volume  
temperatură;temperature  
grosime;thickness  
adâncimi;depth  
viteză;speed  
distanță;distance  
greutate;weight  
formă;shape  
pătrat;square  
rotund;round  
triunghiulară;triangular  
vechimea;age (of an object)  
loc;place  
regiune;region  
zonă;zone  
țării;countries  
oraș;city  
capitală;capital  
municipiu;municipality  
insulă;island  
adresă;address  
nord;north  
sud;south  
estul;the east  
vestul;the west  
autostrăzi;highways  
bulevard;boulevard  
stradă;street  
cartier;neighborhood  
colț;corner  
clădire;building  
bloc;apartment block  
casă;house  
acasă;home  
restaurante;restaurants  
hoteluri;hotels  
biserică;church  
grădinile;the gardens  
piață;square  
dreaptă;right (direction)  
stângă;left (direction)  
centru;center  
periferie;periphery  
aproape;near  
departe;far  
palatul;palace  
castel;castle  
muzeu;museum  
pod;bridge  
grădină zoologică;zoo  
grădină botanică;botanical garden  
bancă;bank  
teatru;theater  
cinematografului;cinema  
bibliotecă;library  
librăriei;bookstore  
farmacie;pharmacy  
florărie;flower shop  
închisoare;prison  
școală;school  
bar;bar  
birou;office  
magazin;shop  
naționalitate;nationality  
străin;foreign  
pașaport;passport  
nativ;native  
viză;visa  
românia;romania  
românii;the romanians  
australia;australia  
australian;australian  
austria;austria  
austriac;austrian  
brazilia;brazil  
brazilieni;brazilians  
germania;germany  
german;german  
franța;france  
francez;french  
marea britanie;united kingdom  
britanic;british  
scoția;scotland  
scoțian;scottish  
irlanda;ireland  
irlandez;irish  
țara galilor;wales  
galez;welsh  
suedia;sweden  
suedez;swedish  
belgia;belgium  
belgian;belgian  
argentina;argentina  
argentinieni;argentinians  
norvegia;norway  
norvegian;norwegian  
danemarca;denmark  
danez;danish  
grecia;greece  
greci;greeks  
spania;spain  
spaniol;spanish  
elveția;switzerland  
elvețian;swiss  
egipt;egypt  
egiptean;egyptian  
rusia;russia  
rus;russian  
olanda;netherlands  
olandez;dutch  
turcia;turkey  
turc;turkish  
portugalia;portugal  
portughez;portuguese  
malaezia;malaysia  
malaezian;malaysian  
statele unite ale americii;united states of america  
american;american  
stat;state  
republică;republic  
monarhia;monarchy  
regat;kingdom  
rege;king  
împărat;emperor  
prinț;prince  
tron;throne  
moștenitor;heir  
guvern;government  
parlamentul;parliament  
senator;senator  
deputat;deputy  
ministru;minister  
prim-ministru;prime minister  
primar;mayor  
politic;political  
cetățean;citizen  
libertate;freedom  
dreptate;justice  
egalitatea;equality  
drept;right  
lege;law  
constituție;constitution  
tribunal;tribunal  
pacea;peace  
război;war  
partid politic;political party  
campanie electorală;election campaign  
alegere;election  
vot;vote  
candidat;candidate  
câștigător;winner  
discursului;speech  
strategie;strategy  
infracțiune;crime  
violență;violence  
conflict;conflict  
amenințare;threat  
grevă;strike  
criză;crisis  
acord;agreement  
decizia;decision  
plan;plan  
corupție;corruption  
nici;neither  
numai;only  
atât ... cât și ...;both ... and ...  
dar;but  
însă;however  
iar;and (used for emphasis)  
ci;but (in contrast)  
ori;or  
fie;whether  
deci;so  
așadar;therefore  
în concluzie;in conclusion  
fiindcă;because  
pentru că;because  
deoarece;because  
din cauză că;because of  
întrucât;since  
că;that  
deși;although  
chiar dacă;even if  
cu toate că;although  
dacă;if  
în caz că;if  
în timp ce;while  
până când;until  
după ce;after  
imediat ce;as soon as  
aici;here  
acolo;there  
acum;now  
atunci;then  
așa;thus  
cum;how  
când;when  
unde;where  
cât;how much  
puțin;little  
foarte;very  
tot;all  
bine;well  
repede;quickly  
sigur;sure  
iarăși;again  
încet;slowly  
rău;bad  
suficient;sufficient  
uneori;sometimes  
des;often  
rar;seldom  
altfel;otherwise  
degeaba;in vain  
împreună;together  
separat;separately  
pe neașteptate;suddenly  
apoi;then  
afară;outside  
înăuntru;inside  
dincolo;beyond  
înainte;forward  
înapoi;back  
deasupra;above  
jos;down  
atât;as much  
destul;enough  
cât de cât;somewhat  
deloc;at all  
chiar;even  
tocmai;exact  
desigur;surely  
firește;of course  
negreșit;certainly  
nici;neither  
nicăieri;nowhere  
niciodată;never  
cel puțin;at least  
măcar;at least  
decât;than  
doar;only  
numai;just  
probabil;probably  
poate;maybe  
posibil;possible  
oare;perhaps  
câteodată;sometimes  
întotdeauna;always  
imediat;immediately  
cine;who  
ce;what  
cel ce;the one who  
care;which  
ceea ce;that which  
ceva;something  
altceva;something else  
orice;anything  
nimeni;nobody  
nimic;nothing  
unul;one  
altul;the other  
vreo;any  
niciuneia;neither  
fiecare;each  
oricăruia;whomever  
cineva;someone  
altcineva;someone else  
oricine;anyone  
asupra;upon  
contra;against  
cu ocazia;on the occasion of  
de la începutul;from the beginning of  
de la mijlocul;from the middle of  
de la sfârșitul;from the end of  
de-a latul;across  
de-a lungul;along  
deasupra;above  
din cauza;because of  
din cursul;during  
din fața;in front of  
din fruntea;from the head of  
din jurul;around  
din mijlocul;from the middle of  
din spatele;from behind  
din timpul;from the time of  
împrejurul;around  
în cursul;during  
în fața;in front of  
în fruntea;at the head of  
în jurul;around  
în locul;in place of  
în numele;on behalf of  
în privința;concerning  
în spatele;behind  
în timpul;during  
în urma;after  
la începutul;at the beginning of  
la mijlocul;in the middle of  
la sfârșitul;at the end of  
grație;thanks to  
mulțumită;thanks to  
dinaintea;before  
datorită;due to  
înaintea;before  
cap;head  
păr;hair  
sprânceană;eyebrow  
ochi;eye  
nas;nose  
ureche;ear  
barbă;beard  
mustață;mustache  
gură;mouth  
buze;lips  
dinții;teeth  
limbă;tongue  
bărbie;chin  
gât;neck  
umăr;shoulder  
spate;back  
piept;chest  
braț;arm  
burta;belly  
cot;elbow  
deget;finger  
mână;hand  
unghie;nail  
palmă;palm  
pumnul;fist  
picior;leg  
genunchi;knee  
încheietură;wrist  
glezna;ankle  
talpă;sole  
călcâie;heel  
șold;hip  
față;face  
frunții;forehead  
pleoapă;eyelid  
obrajii;cheeks  
genele;eyelashes  
buric;navel  
nări;nostrils  
popor;people  
populație;population  
națiunea;nation  
mulțime;crowd  
adunare;gathering  
lumea;the world  
grupul;group  
societate;society  
comunități;communities  
tineret;youth  
ființă umană;human being  
individ;individual  
persoanele;the people  
cultura;culture  
public;public  
privat;private  
relație;relationship  
prietenie;friendship  
dușmănie;enmity  
domn;gentleman  
doamnelor;ladies  
domnișoară;miss  
adult;adult  
bebeluș;baby  
iubit;beloved  
cuplu;couple  
echipă;team  
comitet;committee  
colectiv;collective  
fundație;foundation  
sindicat;trade union  
contract;contract  
donație;donation  
apartament;apartment  
locuința;dwelling  
acoperiș;roof  
scară;staircase  
etaj;floor  
tavan;ceiling  
perete;wall  
podea;floor  
garaj;garage  
ferestre;windows  
ușa;door  
cameră;room  
hol;hall  
baie;bathroom  
dormitor;bedroom  
bucătăria;kitchen  
sufragerie;living room  
pod;attic  
robinet;faucet  
covorul;carpet  
dușul;shower  
cadă;bathtub  
prosop;towel  
săpun;soap  
periuță de dinți;toothbrush  
pastă de dinți;toothpaste  
mașină de spălat;washing machine  
cuier;coat rack  
scaun;chair  
pat;bed  
lampă;lamp  
noptieră;nightstand  
șifonier;wardrobe  
perdelele;curtains  
dulap;closet  
biroul;desk  
saltea;mattress  
pătură;blanket  
cearșaf;sheet  
pernă;pillow  
față de pernă;pillowcase  
canapea;sofa  
fotoliu;armchair  
bibliotecă;bookshelf  
tablou;painting  
fier de călcat;iron  
aspirator;vacuum cleaner  
aragaz;stove  
prăjitor de pâine;toaster  
tigaie;pan  
chiuveta;sink  
față de masă;tablecloth  
cuptor cu microunde;microwave oven  
cratița;pot  
vază;vase  
sertarul;drawer  
mobilier;furniture  
mătura;broom  
făraș;dustpan  
priză;socket  
coș de gunoi;trash can  
întrerupător;switch  
robot de bucătărie;food processor  
dor;longing  
foame;hunger  
sete;thirst  
frică;fear  
frig;cold  
cald;warm  
rușine;shame  
poftă;appetite  
teamă;fear  
somn;sleep  
a îi părea bine;to feel good  
a îi părea rău;to feel bad  
a îi fi bine;to be good for him/her  
a îi fi rău;to be bad for him/her  
lene;laziness  
indiferent;indifferent  
drag;dear  
mă;me  
te;you  
se;himself, herself, itself  
ne;us  
vă;you (plural/formal)  
îmi;my  
îți;your  
își;his/her/their  
sine;himself, herself  
însuți;yourself (formal)  
însumi;myself  
însuși;himself, herself  
înșine;ourselves  
înșivă;themselves  
înșiși;themselves  
a se bucura;to enjoy  
a se îmbăta;to get drunk  
a se spăla;to wash oneself  
a se îmbrăca;to dress  
a se distra;to have fun  
a se gândi;to think  
a se odihni;to rest  
a se ridica;to rise  
a se dezbrăca;to undress  
a se culca;to lie down  
a se scula;to get up  
a-și aminti;to remember  
a-și imagina;to imagine  
a-și închipui;to suppose  
a-și face;to make  
a se certa;to argue  
a se împrieteni;to make friends  
a se înțelege;to understand each other  
călătorie;journal  
internațională;international  
drum;road  
hartă;map  
busolele;compasses  
graniță;border  
vacanță;vacation  
destinație;destination  
itinerariul;itinerary  
